DATE,INDIGO,ICICI,Jet_Airways,SBI,TATA Chem,TATA Comm,HDFC,Bajaj Finance,KOTAK,Reliance
19-09-2019,1693.949951,386.600006,34.25,274.049988,568.200012,306.75,1974.599976,3362.050049,1452.599976,1167.97876
20-09-2019,1738.300049,417.5,33.700001,301.700012,590.450012,322.049988,2049.300049,3702.199951,1538.849976,1242.571655
23-09-2019,1803.800049,446.299988,33.299999,313.75,606,338.149994,2162,4023.75,1640.599976,1227.563965
24-09-2019,1817.900024,440.899994,32.200001,302.600006,607.150024,355.049988,2130,3961.75,1618.099976,1266.692993
25-09-2019,1803.550049,434.200012,31.5,280.25,601.150024,372.799988,2069.949951,3930.899902,1601.599976,1267.535034
26-09-2019,1871,451.950012,31.049999,281.850006,606.400024,376.350006,2063.199951,4000.800049,1626.849976,1284.623047
27-09-2019,1851.800049,449.200012,29.549999,281.200012,596.5,370.100006,2035.900024,4057.399902,1643.5,1296.758057
30-09-2019,1889.650024,433.700012,28.1,270.799988,588.950012,375.100006,1977.050049,4046.050049,1644.449951,1319.740234
01-10-2019,1869.900024,424.600006,26.700001,255.949997,582.299988,367.200012,1995.650024,3992.399902,1648.199951,1292.646973
03-10-2019,1826.050049,427.299988,25.4,254.149994,585.25,365.899994,1974.550049,3959.800049,1615.75,1298.739258
04-10-2019,1809.599976,413.899994,24.15,249.949997,576.849976,365.850006,1978.300049,3903.949951,1563.150024,1295.816895
07-10-2019,1795.150024,416.100006,22.950001,249.100006,577.049988,363.450012,1969.300049,3900.899902,1555.650024,1297.798218
09-10-2019,1796.449951,436.700012,21.85,260.950012,588.349976,362.950012,2002,4023.899902,1612.349976,1312.310547
10-10-2019,1790.099976,423.700012,20.799999,254.149994,578.849976,370.5,1987.949951,3948.899902,1584.800049,1349.953735
11-10-2019,1749.650024,428.549988,19.799999,254.550003,593.650024,353.700012,2010.150024,3973.199951,1587.75,1339.899048
14-10-2019,1766.75,428.850006,18.85,255.449997,590,354.700012,2014.75,3883.300049,1585.5,1345.248413
15-10-2019,1752.050049,431.850006,17.950001,258.450012,588.200012,357.299988,2013.300049,3879.449951,1615.599976,1351.340698
16-10-2019,1725.800049,435.299988,17.1,256.049988,594.349976,360.5,2048.699951,4016.399902,1605.550049,1359.463623
17-10-2019,1736.349976,440.600006,16.25,265.450012,606.150024,361.850006,2089.75,4106.799805,1604.550049,1383.386841
